Title,season,rider_name,rounds_wildcard
Wildcards,2002, 'Shinichi Ito',1
Wildcards,2002, 'Shinichi Ito',15
Wildcards,2002, 'Akira Yanagawa',13
Wildcards,2002, 'Andrew Pitt',14–16
Wildcards,2002, 'David García (motorcyclist) (page does not exist)',16
Wildcards,2002, 'Akira Ryō',1
Wildcards,2002, 'Wataru Yoshikawa',13
Wildcards,2002, 'Sylvain Guintoli',10
Wildcards,2002, 'Eric Bataille (page does not exist)',"3, 6, 11–12, 16"
Wildcards,2002, 'Ralf Waldmann',"7, 9–10"
Wildcards,2002, 'Thierry van den Bosch (page does not exist)',4
Wildcards,2011, 'Shinichi Ito',15
Wildcards,2010, 'Dani Rivas',7
Wildcards,2005, 'Olivier Jacque',10
Wildcards,2004, 'Valerio Anghetti (page does not exist)',10
Wildcards,2006, 'Garry McCoy',16–17
Wildcards,2012, 'Katsuyuki Nakasuga',15
Wildcards,2011, 'Ben Bostrom',10
Wildcards,2011, 'Kousuke Akiyoshi',15
Wildcards,2011, 'John Hopkins (motorcyclist)',"11, 17"
Wildcards,2011, 'Tomoyoshi Koyama',15
Wildcards,2011, 'Alex Cudlin',4
Wildcards,2011, 'Nasser Al Malki',1
Wildcards,2010, 'Jordi Torres',7
Wildcards,2010, 'Dani Rivas',17
Wildcards,2010, 'Ferruccio Lamborghini (motorcyclist)',12
Wildcards,2010, 'Xavier Siméon',"3–4, 8, 10, 18"
Wildcards,2010, 'Sascha Hommel',8
Wildcards,2010, 'Roger Lee Hayden',11
Wildcards,2005, 'Tohru Ukawa',3
Wildcards,2005, 'Naoki Matsudo',12
Wildcards,2005, 'Nobuatsu Aoki',11
Wildcards,2005, 'Franz Aschenbrenner',10
Wildcards,2005, 'Álvaro Molina (motorcyclist)',"1–2, 5, 9–11, 17"
Wildcards,2005, 'Yves Polzer (page does not exist)',"1–2, 5, 9–10"
Wildcards,2005, 'Marc-Antoine Scaccia (page does not exist)',4
Wildcards,2004, 'Radomil Rous (page does not exist)',2–3
Wildcards,2004, 'José Luis Cardoso',5
Wildcards,2004, 'Álvaro Molina (motorcyclist)',"2, 16"
Wildcards,2004, 'Grégory Leblanc (page does not exist)',"2–3, 10–11, 16"
Wildcards,2004, 'Samuel Aubry (page does not exist)',3
Wildcards,2004, 'Vincent Eisen (page does not exist)',3
Wildcards,2004, 'Marc-Antoine Scaccia (page does not exist)',3
Wildcards,2006, 'Naoki Matsudo',15
Wildcards,2006, 'Kousuke Akiyoshi',15
Wildcards,2006, 'Esteve Rabat',"1, 7"
Wildcards,2006, 'Pol Espargaró',7
Wildcards,2012, 'Steve Rapp',10–11
Wildcards,2012, 'Aaron Yates (motorcyclist)',11
Wildcards,2012, 'Claudio Corti (motorcyclist)',18
Wildcards,2011, 'Elena Rosell',"14, 18"
Wildcards,2011, 'Alessandro Andreozzi',13
Wildcards,2011, 'Jacob Gagne',12
Wildcards,2011, 'Kris McLaren',16
Wildcards,2011, 'Blake Leigh-Smith',16
Wildcards,2011, 'Óscar Climent',18
Wildcards,2010, 'Mattia Pasini',12
Wildcards,2010, 'Jason DiSalvo',11
Wildcards,2010, 'Román Ramos',"13, 18"
Wildcards,2010, 'Javier Forés',18
Wildcards,2010, 'Alex Cudlin',16
Wildcards,2005, 'Thomas Walther',10
Wildcards,2005, 'Patrick Lakerveld (page does not exist)',10
Wildcards,2005, 'Huang Shi Zhao',3
Wildcards,2005, 'He Zi Xian',3
Wildcards,2005, 'Huang Zhi Yu',3
Wildcards,2005, 'Wang Zhu (motorcyclist)',"3, 13, 16–17"
Wildcards,2005, 'Li Zheng Peng',"3–4, 13, 16–17"
Wildcards,2004, 'Yuki Takahashi',12
Wildcards,2004, 'Patrick Lakerveld (page does not exist)',6
Wildcards,2004, 'Hans Smees',"6, 16"
Wildcards,2004, 'Emile Litjens (page does not exist)',6
Wildcards,2004, 'Randy Gevers',6
Wildcards,2004, 'Henk van de Lagemaat (page does not exist)',10
Wildcards,2011, 'Michael van der Mark',7
Wildcards,2011, 'Mattia Tarozzi',8
Wildcards,2011, 'Hafizh Syahrin',17
Wildcards,2011, 'Mohamad Zamri Baba',17
Wildcards,2011, 'Steven Odendaal',"2–4, 7, 9, 11"
Wildcards,2011, 'Juan Francisco Guevara',18
Wildcards,2011, 'Manuel Tatasciore',"11, 13"
Wildcards,2010, 'Anthony Delhalle',1
Wildcards,2010, 'Kev Coghlan',"5, 13"
Wildcards,2010, 'Shogo Moriwaki',14
Wildcards,2010, 'Mohamad Zamri Baba',15
Wildcards,2010, 'Iván Moreno (motorcyclist)',2
Wildcards,2010, 'Amadeo Lladós',2
Wildcards,2010, 'Koki Takahashi',14
Wildcards,2005, 'Erwan Nigon (page does not exist)',4
Wildcards,2005, 'Samuel Aubry (page does not exist)',4
Wildcards,2005, 'Hans Smees',7
Wildcards,2005, 'Randy Gevers',7
Wildcards,2005, 'Jan Roelofs',7
Wildcards,2005, 'Mike Velthjzen (page does not exist)',7
Wildcards,2004, 'Jan Roelofs',6
Wildcards,2004, 'Jarno Ronzoni (page does not exist)',4
Wildcards,2004, 'Frederik Watz',9
Wildcards,2004, 'Lee Dickinson (page does not exist)',9
Wildcards,2004, 'Tony Campbell (motorcyclist) (page does not exist)',9
Wildcards,2004, 'Bruce Dunn (page does not exist)',9
Wildcards,2004, 'Choujun Kameya (page does not exist)',12
Wildcards,2019, 'Bradley Smith (motorcyclist)',"1, 4, 7, 14"
Wildcards,2013, 'Michele Pirro',"3, 5, 18"
Wildcards,2014, 'Michele Pirro',"4, 6–7, 11, 18"
Wildcards,2015, 'Michele Pirro',"6, 13, 18"
Wildcards,2016, 'Michele Pirro',"6, 10"
Wildcards,2017, 'Michele Pirro',"6, 13, 18"
Wildcards,2018, 'Michele Pirro',"6, 13, 19"
Wildcards,2011, 'Emil Petersen',18
Wildcards,2011, 'Ladislav Chmelík',11
Wildcards,2011, 'Alessandro Giorgi',13
Wildcards,2011, 'Josep Rodríguez',"2, 5"
Wildcards,2011, 'Daniel Ruiz (motorcyclist)',"2, 18"
Wildcards,2011, 'Pedro Rodríguez (motorcyclist)',14
Wildcards,2010, 'Eduard López',7
Wildcards,2010, 'Isaac Viñales',7
Wildcards,2005, 'Michal Filla',11
Wildcards,2005, 'Shuhei Aoyama',12
Wildcards,2005, 'Mamoru Akiya (page does not exist)',12
Wildcards,2005, 'Ryuji Yokoe',12
Wildcards,2005, 'Masaki Tokudome',12
Wildcards,2005, 'Mark Rowling (page does not exist)',15
Wildcards,2005, 'Mick Kelly (motorcyclist) (page does not exist)',15
Wildcards,2004, 'Shuhei Aoyama',12
Wildcards,2004, 'Yuzo Fujioka (page does not exist)',12
Wildcards,2004, 'Katsuyuki Nakasuga',12
Wildcards,2004, 'Peter Taplin (page does not exist)',15
Wildcards,2004, 'Mark Rowling (page does not exist)',15
Wildcards,2019, 'Michele Pirro',"6, 13, 19"
