Title;season;rider_name;rounds_wildcard
Wildcards;2002;'Shinichi Ito';1
Wildcards;2002;'Shinichi Ito';15
Wildcards;2002;'Akira Yanagawa';13
Wildcards;2002;'Andrew Pitt';14-16
Wildcards;2002;'David García';16
Wildcards;2002;'Akira Ryō';1
Wildcards;2002;'Wataru Yoshikawa';13
Wildcards;2002;'Sylvain Guintoli';10
Wildcards;2002;'Eric Bataille';3,6,11-12,16
Wildcards;2002;'Ralf Waldmann';7,9-10
Wildcards;2002;'Thierry van den Bosch';4 
Wildcards;2003;'Akira Yanagawa';1,6
Wildcards;2003;'Alex Hofmann';3,5,7,9-10
Wildcards;2003;'Tamaki Serizawa';1,13
Wildcards;2004;'Valerio Anghetti';10
Wildcards;2004;'Radomil Rous';2-3
Wildcards;2004;'José Luis Cardoso';5
Wildcards;2004;'Álvaro Molina';2,16
Wildcards;2004;'Grégory Leblanc';2-3,10-11,16
Wildcards;2004;'Samuel Aubry';3
Wildcards;2004;'Vincent Eisen';3
Wildcards;2004;'Marc-Antoine Scaccia';3
Wildcards;2004;'Yuki Takahashi';12
Wildcards;2004;'Patrick Lakerveld';6
Wildcards;2004;'Hans Smees';6,16
Wildcards;2004;'Emile Litjens';6
Wildcards;2004;'Randy Gevers';6
Wildcards;2004;'Henk van de Lagemaat';10
Wildcards;2004;'Jan Roelofs';6
Wildcards;2004;'Jarno Ronzoni';4
Wildcards;2004;'Frederik Watz';9
Wildcards;2004;'Lee Dickinson';9
Wildcards;2004;'Tony Campbell';9
Wildcards;2004;'Bruce Dunn';9
Wildcards;2004;'Choujun Kameya';12
Wildcards;2004;'Shuhei Aoyama';12
Wildcards;2004;'Yuzo Fujioka';12
Wildcards;2004;'Katsuyuki Nakasuga';12
Wildcards;2004;'Peter Taplin';15
Wildcards;2004;'Mark Rowling';15
Wildcards;2004;'Ben Ried';15
Wildcards;2004;'Ismael Ortega';2
Wildcards;2004;'Toshihisa Kuzuhara';14
Wildcards;2004;'Václav Bittman';10
Wildcards;2004;'Michele Danese';4
Wildcards;2004;'Georg Fröhlich';2-3,8-10
Wildcards;2004;'Patrick Unger';8
Wildcards;2004;'Manuel Mickan';8
Wildcards;2004;'Manuel Hernández';2,5,11,16
Wildcards;2004;'Frank van den Dragt';6
Wildcards;2004;'Christian Elkin';9
Wildcards;2004;'Kris Weston';9
Wildcards;2004;'Stefano Bianco';4
Wildcards;2004;'Brett Simmonds';15
Wildcards;2004;'Aleix Espargaró';16
Wildcards;2004;'Michele Pirro';4
Wildcards;2004;'Toshihisa Kuzuhara';12
Wildcards;2004;'Shigeki Norikane';12
Wildcards;2004;'Suhathai Chaemsap';12
Wildcards;2004;'Fabricio Perrén';5
Wildcards;2004;'Julián Miralles Rodríguez';2-3,8,16
Wildcards;2004;'Enrique Jerez';2,5,16
Wildcards;2004;'Jordi Planas';5
Wildcards;2004;'Vincent Braillard';11
Wildcards;2004;'Alexis Masbou';3
Wildcards;2004;'Yannick Deschamps';3
Wildcards;2004;'Mathieu Gines';3
Wildcards;2004;'Alessio Aldrovandi';4
Wildcards;2004;'Lorenzo Zanetti';4
Wildcards;2004;'Adri den Bekker';6
Wildcards;2004;'Mark van Kreij';6
Wildcards;2004;'Jarno van der Marel';6
Wildcards;2004;'Gert-Jan Kok';6
Wildcards;2004;'Tommy Bridewell';9
Wildcards;2004;'Eugene Laverty';9
Wildcards;2004;'Patrik Vostárek';10
Wildcards;2004;'Michael Ranseder';10,16
Wildcards;2004;'Tomoyoshi Koyama';10,12
Wildcards;2004;'Carlos Ferreira';11
Wildcards;2004;'Bryan Staring';15
Wildcards;2004;'Malcolm Esler';15
Wildcards;2004;'Brent Rigoli';15
Wildcards;2004;'Yuki Hatano';12
Wildcards;2005;'Olivier Jacque';10
Wildcards;2005;'Tohru Ukawa';3
Wildcards;2005;'Naoki Matsudo';12
Wildcards;2005;'Nobuatsu Aoki';11
Wildcards;2005;'Franz Aschenbrenner';10
Wildcards;2005;'Álvaro Molina';1-2,5,9-11,17
Wildcards;2005;'Yves Polzer';1-2,5,9-10
Wildcards;2005;'Marc-Antoine Scaccia';4
Wildcards;2005;'Thomas Walther';10
Wildcards;2005;'Patrick Lakerveld';10
Wildcards;2005;'Huang Shi Zhao';3
Wildcards;2005;'He Zi Xian';3
Wildcards;2005;'Huang Zhi Yu';3
Wildcards;2005;'Wang Zhu';3,13,16-17
Wildcards;2005;'Li Zheng Peng';3-4,13,16-17
Wildcards;2005;'Erwan Nigon';4
Wildcards;2005;'Samuel Aubry';4
Wildcards;2005;'Hans Smees';7
Wildcards;2005;'Randy Gevers';7
Wildcards;2005;'Jan Roelofs';7
Wildcards;2005;'Mike Velthjzen';7
Wildcards;2005;'Michal Filla';11
Wildcards;2005;'Shuhei Aoyama';12
Wildcards;2005;'Mamoru Akiya';12
Wildcards;2005;'Ryuji Yokoe';12
Wildcards;2005;'Masaki Tokudome';12
Wildcards;2005;'Mark Rowling';15
Wildcards;2005;'Mick Kelly';15
Wildcards;2005;'Koki Takahashi';12
Wildcards;2005;'Cheung Wai On';3
Wildcards;2006;'Garry McCoy';16-17
Wildcards;2006;'Naoki Matsudo';15
Wildcards;2006;'Kousuke Akiyoshi';15
Wildcards;2006;'Esteve Rabat';1,7
Wildcards;2006;'Pol Espargaró';7
Wildcards;2007;'Roger Lee Hayden';11
Wildcards;2007;'Akira Yanagawa';15
Wildcards;2007;'Kurtis Roberts';6-7
Wildcards;2007;'Kousuke Akiyoshi';2,15
Wildcards;2007;'Nobuatsu Aoki';17
Wildcards;2008;'Tadayuki Okada';6
Wildcards;2008;'Ben Spies';11,14
Wildcards;2008;'Kousuke Akiyoshi';15
Wildcards;2008;'Nobuatsu Aoki';17
Wildcards;2009;'Ben Spies';17
Wildcards;2010;'Dani Rivas';7
Wildcards;2010;'Jordi Torres';7
Wildcards;2010;'Dani Rivas';17
Wildcards;2010;'Ferruccio Lamborghini';12
Wildcards;2010;'Xavier Siméon';3-4,8,10,18
Wildcards;2010;'Sascha Hommel';8
Wildcards;2010;'Roger Lee Hayden';11
Wildcards;2010;'Mattia Pasini';12
Wildcards;2010;'Jason DiSalvo';11
Wildcards;2010;'Román Ramos';13,18
Wildcards;2010;'Javier Forés';18
Wildcards;2010;'Alex Cudlin';16
Wildcards;2010;'Anthony Delhalle';1
Wildcards;2010;'Kev Coghlan';5,13
Wildcards;2010;'Shogo Moriwaki';14
Wildcards;2010;'Mohamad Zamri Baba';15
Wildcards;2010;'Iván Moreno';2
Wildcards;2010;'Amadeo Lladós';2
Wildcards;2010;'Koki Takahashi';14
Wildcards;2010;'Eduard López';7
Wildcards;2010;'Isaac Viñales';7
Wildcards;2011;'Shinichi Ito';15
Wildcards;2011;'Ben Bostrom';10
Wildcards;2011;'Kousuke Akiyoshi';15
Wildcards;2011;'John Hopkins';11,17
Wildcards;2011;'Tomoyoshi Koyama';15
