"id_constructor","des_constructor","racing_class","season"
1,Aprilia,"125cc",2002
2,Aprilia,"250cc",2002
3,Aprilia,motogp,2002
4,Derbi,"125cc",2002
5,Gilera,"125cc",2002
6,Honda,"125cc",2002
7,Honda,"250cc",2002
8,Honda,motogp,2002
9,Italjet,"125cc",2002
10,Kawasaki,motogp,2002
11,Proton KR,motogp,2002
12,Suzuki,motogp,2002
13,Yamaha,"125cc",2002
14,Yamaha,"250cc",2002
15,Yamaha,motogp,2002
16,Aprilia,"125cc",2003
17,Aprilia,"250cc",2003
18,Aprilia,motogp,2003
19,Derbi,"125cc",2003
20,Ducati,motogp,2003
21,Gilera,"125cc",2003
22,Harris WCM,motogp,2003
23,Honda,"125cc",2003
24,Honda,"250cc",2003
25,Honda,motogp,2003
26,Kawasaki,motogp,2003
27,KTM,"125cc",2003
28,Malaguti,"125cc",2003
29,MD211VF Proto,motogp,2003
30,Moriwaki,motogp,2003
31,Proton KR,motogp,2003
32,ROC Yamaha,motogp,2003
33,Sabre V4,motogp,2003
34,Suzuki,motogp,2003
35,TSR,"125cc",2003
36,Yamaha,"250cc",2003
37,Yamaha,motogp,2003
38,Aprilia,"125cc",2004
39,Aprilia,"250cc",2004
40,Aprilia,motogp,2004
41,Derbi,"125cc",2004
42,Ducati,motogp,2004
43,Gilera,"125cc",2004
44,Harris WCM,motogp,2004
45,Honda,"125cc",2004
46,Honda,"250cc",2004
47,Honda,motogp,2004
48,Kawasaki,motogp,2004
49,KTM,"125cc",2004
50,Malaguti,"125cc",2004
51,Moriwaki,motogp,2004
52,Proton KR,motogp,2004
53,Suzuki,motogp,2004
54,Yamaha,"125cc",2004
55,Yamaha,"250cc",2004
56,Yamaha,motogp,2004
57,Aprilia,"125cc",2005
58,Aprilia,"250cc",2005
59,Blata,motogp,2005
60,Derbi,"125cc",2005
61,Ducati,motogp,2005
62,Fantic,"250cc",2005
63,Gilera,"125cc",2005
64,Honda,"125cc",2005
65,Honda,"250cc",2005
66,Honda,motogp,2005
67,Kawasaki,motogp,2005
68,KTM,"125cc",2005
69,KTM,"250cc",2005
70,Malaguti,"125cc",2005
71,Moriwaki,motogp,2005
72,Proton KR,motogp,2005
73,Suzuki,motogp,2005
74,Yamaha,"125cc",2005
75,Yamaha,"250cc",2005
76,Yamaha,motogp,2005
77,Aprilia,"125cc",2006
78,Aprilia,"250cc",2006
79,Derbi,"125cc",2006
80,Ducati,motogp,2006
81,Gilera,"125cc",2006
82,Gilera,"250cc",2006
83,Honda,"125cc",2006
84,Honda,"250cc",2006
