"id_grandprix","id_track_fk","des_grandprix","num_round","num_laps","season","gp_date","saturday_race","night_race"
1,14,SKYY vodka Grand Prix of Japan,1,,2002,2002-04-07,false,false
2,10,Africa's Grand Prix,2,,2002,2002-04-21,false,false
3,7,Gran Premio Marlboro de España,3,,2002,2002-05-05,false,false
4,4,Polini Grand Prix de France,4,,2002,2002-05-19,false,false
5,9,Gran Premio Cinzano d'Italia,5,,2002,2002-06-02,false,false
6,5,Gran Premi Marlboro de Catalunya,6,,2002,2002-06-16,false,false
7,15,Gauloises Dutch TT,7,,2002,2002-06-29,true,false
8,8,Cinzano British Grand Prix,8,,2002,2002-07-14,false,false
9,12,Cinzano Motorrad Grand Prix Deutschland,9,,2002,2002-07-21,false,false
10,3,Gauloises Grand Prix České republiky,10,,2002,2002-08-25,false,false
11,1,Grande Prémio Marlboro de Portugal,11,,2002,2002-09-08,false,false
12,2,Cinzano Rio Grand Prix,12,,2002,2002-09-21,true,false
13,16,Gauloises Pacific Grand Prix of Motegi,13,,2002,2002-10-06,false,false
14,13,Gauloises Malaysian Motorcycle Grand Prix,14,,2002,2002-10-13,false,false
15,11,SKYY vodka Australian Grand Prix,15,,2002,2002-10-20,false,false
16,6,Gran Premio Marlboro de la Comunitat Valenciana,16,,2002,2002-11-03,false,false
17,14,SKYY vodka Grand Prix of Japan,1,,2003,2003-04-06,false,false
18,10,Arnette Africa's Grand Prix,2,,2003,2003-04-27,false,false
19,7,Gran Prémio Marlboro de España,3,,2003,2003-05-11,false,false
20,4,Grand Prix Polini de France,4,,2003,2003-05-25,false,false
21,9,Gran Premio Cinzano d'Italia,5,,2003,2003-06-08,false,false
22,5,Gran Premi Marlboro de Catalunya,6,,2003,2003-06-15,false,false
23,15,Gauloises Dutch TT,7,,2003,2003-06-28,true,false
24,8,Cinzano British Grand Prix,8,,2003,2003-07-13,false,false
25,12,Cinzano Motorrad Grand Prix von Deutschland,9,,2003,2003-07-27,false,false
26,3,Gauloises Grand Prix České republiky,10,,2003,2003-08-17,false,false
