rider_name;lat;long
Luis Salom;39.5695818;2.6500745 
Cameron Beaubier;53.96194385;-1.1466306295096371 
Ryusei Yamanaka;35.6696551;140.1679445 
Enea Bastianini;43.9470982;12.630768610516004 
Noboru Ueda;34.9991645;137.254574 
Luca Lunetta;42.6384261;12.674297 
Shinichi Ito;38.3880155;140.9761025 
Kevin Zannoni;44.136352;12.2422442 
Hafizh Syahrin;3.1505141;101.7600712 
Broc Parkes;-32.8014931;151.72161319340788 
Jules Danilo;45.4641943;9.1896346 
Dominique Aegerter;49.0460974;7.2655417 
Lorenzo Dalla Porta;43.935718050000006;11.09414726770089 
Lorenzo Fellon;43.9492493;4.8059012 
Mike Di Meglio;43.6044622;1.4442469 
Kohta Nozane;35.549399;140.2647303 
Riccardo Rossi;44.40726;8.9338624 
Alberto Surra;45.0677551;7.6824892 
Anthony West;-28.0023731;153.4145987 
Niki Tuuli;61.1923342;28.7716996 
Tetsuya Harada;35.549399;140.2647303 
Lukas Tulovic;48.9273858;8.066278 
Randy Krummenacher;47.4155906;9.249359 
Andrew Pitt;-31.0798092;152.842289 
Stefano Nepa;42.7534856;13.9667011 
Tito Rabat;41.3828939;2.1774322 
Shizuka Okazaki;35.4342935;139.374753 
Taiga Hada;36.5748441;139.2394179 
Sascha Hommel;50.6200076;12.298936 
Andrea Locatelli;45.7336026;9.730494 
Kasma Daniel;2.0228821;103.3114564 
Sandro Cortese;48.0711222;9.9512104 
Mattia Pasini;43.9470982;12.630768610516004 
Alex de Angelis;43.9470982;12.630768610516004 
Bo Bendsneyder;51.9244424;4.47775 
Luca Salvadori;45.4641943;9.1896346 
Troy Bayliss;-31.912864;152.4608481 
Albert Arenas;41.9793006;2.8199439 
Eric Granado;-23.5506507;-46.6333824 
Mika Kallio;61.2637921;24.0301278 
Lorenzo Baldassarri;43.2290211;13.1779663 
Celestino Vietti;45.2352767;7.6003081 
Jonas Folger;48.2405007;12.5250991 
Jakub Kornfeil;49.0104456;17.1224867 
Sete Gibernau;41.3828939;2.1774322 
Naoki Matsudo;41.3828939;2.1774322 
Darryn Binder;-26.707778;27.095833 
Neil Hodgson;53.7907262;-2.2439196 
Miquel Pons;39.5695818;2.6500745 
Nicholas Spinelli;42.6384261;12.674297 
Hikari Okubo;35.72522;139.476606 
Keminth Kubo;13.03876215;101.70017611907599 
David Almansa;39.3260685;-4.8379791 
Izan Guevara;39.5695818;2.6500745 
Danny Kent;51.4587621;-2.1159032 
Diogo Moreira;-10.3333333;-53.2 
Luis Salom;39.5695818;2.6500745 
Jorge Navarro;39.5907339;-0.5532185 
Sean Dylan Kelly;25.7741728;-80.19362 
Andrea Mantovani;44.766764249999994;11.827938995640167 
Michele Pirro;41.7069106;15.7288455 
