"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
2866,2829,Jake Archer,Jake,Archer,2018,20,moto3,{12},{12},,,,1924-10-08,,
690,762,Kenny Roberts Jr.,Kenny,Roberts Jr.,2005,10,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}",,,Mountain View,1973-07-25,37.3893889,-122.0832101
905,1000,Kyle Kentish,Kyle,Kentish,2006,65,"125cc",{9},{9},,,,,,
547,513,Patrick Unger,Patrick,Unger,2004,39,"125cc",{8},{8},,,,1959-03-08,,
1081,1049,Karel Majek,Karel,Majek,2007,91,"125cc",{12},{12},,,,,,
3536,3624,Adrián Fernández,Adrián,Fernández,2023,31,moto3,"{7,8}","{7,8}",56,168,Madrid,2004-01-31,40.4167047,-3.7035825
2750,2741,Kohta Nozane,Kohta,Nozane,2017,31,motogp,{15},{15},65,172,Chiba,1995-10-29,35.549399,140.2647303
2155,2191,Kyle Ryde,Kyle,Ryde,2013,37,moto3,{11},{11},,,,,,
2245,2266,Azlan Shah,Azlan,Shah,2014,25,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,2002-11-23,,
513,519,Manuel Poggiali,Manuel,Poggiali,2004,54,"250cc","{1,2,3,4,5,6,7,8,9,10,11,12,15,16}","{1,2,3,4,5,6,7,8,9,10,11,12,15,16}",58,170,San Marino,1983-02-14,43.9458623,12.458306
632,667,Colin Edwards,Colin,Edwards,2005,5,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",69,179,Houston,1974-02-27,29.7589382,-95.3676974
688,643,Karel Abraham,Karel,Abraham,2005,44,"125cc","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}",64,180,Brno,1990-01-02,49.1922443,16.6113382
1804,1834,Jun Ohnishi,Jun,Ohnishi,2011,80,"125cc",{15},{15},,,,,,
1844,1815,Mohamad Zamri Baba,Mohamad,Zamri Baba,2011,87,moto2,{17},{17},,,,,,
590,460,Václav Bittman,Václav,Bittman,2004,35,"125cc",{10},{10},,,,,,
1519,1534,Alex Baldolini,Alex,Baldolini,2010,25,moto2,"{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}",,,,,,
519,531,Mark van Kreij,Mark,van Kreij,2004,80,"125cc",{6},{6},,,,,,
1430,1398,Lorenzo Savadori,Lorenzo,Savadori,2009,32,"125cc","{1,2,3,4,5,6,7,9,10,11,12,13}","{1,2,3,4,5,6,7,9,10,11,12,13}",67,177,Cesena,1993-04-04,44.136352,12.2422442
2956,2924,Yari Montella,Yari,Montella,2018,55,moto3,{17},{17},,,Oliveto,2000-01-05,43.3873195,11.7332582
2150,2103,Karel Abraham,Karel,Abraham,2013,17,motogp,"{1,2,3,4,5,6,7,8,9,10,11,13}","{1,2,3,4,5,6,7,8,9,10,11,13}",64,180,Brno,1990-01-02,49.1922443,16.6113382
1012,1109,Alex Hofmann,Alex,Hofmann,2007,66,motogp,"{1,2,3,4,5,6,7,8,9,10,13,14}","{1,2,3,4,5,6,7,8,9,10,13,14}",,,,,,
1637,1563,Michele Pirro,Michele,Pirro,2010,51,moto2,{13},{13},69,177,San Giovanni Rotondo,1986-07-05,41.7069106,15.7288455
670,701,Héctor Faubel,Héctor,Faubel,2005,55,"125cc","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}",,,,,,
1515,1518,Alberto Moncayo,Alberto,Moncayo,2010,23,"125cc","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}",,,,,,
460,570,Gregorio Lavilla,Gregorio,Lavilla,2004,32,motogp,"{15,16}","{15,16}",,,,,,
3395,3524,Andrea Mantovani,Andrea,Mantovani,2022,9,moto-e,"{2,3}","{2,3}",74,180,Ferrara,1994-09-30,44.766764249999994,11.827938995640167
