"id_result","rider_name_fk","id_rider_fk","id_grand_prix_fk","id_position_fk","num_round","season","racing_class","race_type","pole","fastest_lap","is_wildcard"
9897,Aleix Espargaró,1,126,7,8,2009,"250cc",main,false,false,false
9907,Alex Baldolini,1,126,11,8,2009,"250cc",main,false,false,false
9940,Alex Debón,1,126,2,8,2009,"250cc",main,false,false,false
9957,Alexis Masbou,1,126,37,8,2009,"125cc",main,false,false,false
9985,Andrea Iannone,1,126,7,8,2009,"125cc",main,false,false,false
10002,Axel Pons,1,126,16,8,2009,"250cc",main,false,false,false
10029,Bastien Chesaux,1,126,15,8,2009,"250cc",main,false,false,false
10050,Bradley Smith,1,126,37,8,2009,"125cc",main,false,false,false
29960,Andrea Mantovani,1,354,11,4,2022,moto-e,main,false,true,false
29961,Andrea Mantovani,1,355,30,5,2022,moto-e,main,false,false,false
29962,Andrea Mantovani,1,356,4,6,2022,moto-e,main,false,false,false
10066,Cameron Beaubier,1,126,14,8,2009,"125cc",main,false,false,false
10069,Cameron Beaubier,1,130,19,12,2009,"125cc",main,false,false,false
10125,Damien Raemy,1,126,22,8,2009,"125cc",main,false,false,false
10144,Daniel Kartheininger,1,126,15,8,2009,"125cc",main,false,false,false
10152,Danny Webb,1,126,8,8,2009,"125cc",main,false,false,false
10169,Dominique Aegerter,1,126,9,8,2009,"125cc",main,false,false,false
10179,Eeki Kuparinen,1,126,37,8,2009,"125cc",main,false,false,false
10187,Efrén Vázquez,1,126,17,8,2009,"125cc",main,false,false,false
10204,Esteve Rabat,1,126,37,8,2009,"125cc",main,false,false,false
30103,Bradley Smith,1,357,8,7,2022,moto-e,main,false,false,false
30104,Bradley Smith,1,358,95,8,2022,moto-e,main,false,false,false
30105,Bradley Smith,1,359,37,9,2022,moto-e,main,false,false,false
30106,Bradley Smith,1,360,29,10,2022,moto-e,main,false,false,false
30107,Bradley Smith,1,361,12,11,2022,moto-e,main,false,false,false
30108,Bradley Smith,1,362,16,12,2022,moto-e,main,false,false,false
10239,Hiroshi Aoyama,1,126,4,8,2009,"250cc",main,false,false,false
10255,Héctor Barberá,1,126,5,8,2009,"250cc",main,false,false,false
10271,Héctor Faubel,1,126,6,8,2009,"250cc",main,false,false,false
10287,Imre Tóth,1,126,18,8,2009,"250cc",main,false,false,false
10329,Jasper Iwema,1,126,19,8,2009,"125cc",main,false,false,false
10337,Joakim Stensmö,1,126,19,8,2009,"250cc",main,false,false,false
10345,Joan Olivé,1,126,3,8,2009,"125cc",main,false,false,false
10362,Johann Zarco,1,126,23,8,2009,"125cc",main,false,false,false
10380,Jonas Folger,1,126,37,8,2009,"125cc",main,false,false,false
10416,Jules Cluzel,1,126,14,8,2009,"250cc",main,false,false,false
10432,Julián Simón,1,126,1,8,2009,"125cc",main,false,false,false
10448,Karel Abraham,1,126,37,8,2009,"250cc",main,false,false,false
10468,Lorenzo Savadori,1,126,20,8,2009,"125cc",main,false,false,false
10481,Lorenzo Zanetti,1,126,37,8,2009,"125cc",main,false,false,false
10514,Luca Marconi,1,126,24,8,2009,"125cc",main,false,false,false
10529,Luca Vitali,1,126,38,8,2009,"125cc",main,false,false,false
10544,Luis Salom,1,126,13,8,2009,"125cc",main,false,false,false
10561,Lukáš Pešek,1,126,12,8,2009,"250cc",main,false,false,false
10577,Lukáš Šembera,1,126,18,8,2009,"125cc",main,false,false,false
10588,Marc Márquez,1,126,16,8,2009,"125cc",main,false,false,false
10597,Marcel Becker,1,126,38,8,2009,"250cc",main,false,false,false
10598,Marcel Schrötter,1,126,12,8,2009,"125cc",main,false,false,false
10600,Marcel Schrötter,1,135,5,17,2009,"125cc",main,false,false,false
10625,Marco Simoncelli,1,126,1,8,2009,"250cc",main,false,false,false
10647,Mattia Pasini,1,126,37,8,2009,"250cc",main,false,false,false
10660,Michael Ranseder,1,126,37,8,2009,"125cc",main,false,false,false
10694,Mike Di Meglio,1,126,37,8,2009,"250cc",main,false,false,false
10745,Nicolás Terol,1,126,4,8,2009,"125cc",main,false,false,false
10764,Pol Espargaró,1,126,5,8,2009,"125cc",main,false,false,false
10784,Raffaele de Rosa,1,126,9,8,2009,"250cc",main,false,false,false
10818,Randy Krummenacher,1,126,11,8,2009,"125cc",main,false,false,false
10834,Ratthapark Wilairot,1,126,29,8,2009,"250cc",main,false,false,false
10852,Roberto Locatelli,1,126,10,8,2009,"250cc",main,false,false,false
10861,Robin Halen,1,125,38,7,2009,"250cc",main,false,false,false
10862,Robin Halen,1,126,38,8,2009,"250cc",main,false,false,false
10871,Sandro Cortese,1,126,6,8,2009,"125cc",main,false,false,false
30735,Jordi Torres,1,353,37,3,2022,moto-e,main,false,false,false
30737,Jordi Torres,1,357,9,7,2022,moto-e,main,false,false,false
10887,Scott Redding,1,126,37,8,2009,"125cc",main,false,false,false
30738,Jordi Torres,1,358,94,8,2022,moto-e,main,false,false,false
30739,Jordi Torres,1,359,8,9,2022,moto-e,main,false,false,false
30740,Jordi Torres,1,360,10,10,2022,moto-e,main,false,false,false
30741,Jordi Torres,1,361,4,11,2022,moto-e,main,false,false,false
30742,Jordi Torres,1,362,5,12,2022,moto-e,main,false,false,false
10903,Sergio Gadea,1,126,2,8,2009,"125cc",main,false,false,false
10925,Shoya Tomizawa,1,126,13,8,2009,"250cc",main,false,false,false
10928,Shoya Tomizawa,1,130,29,12,2009,"250cc",main,false,false,false
10946,Simone Corsi,1,126,37,8,2009,"125cc",main,false,false,false
10962,Stefan Bradl,1,126,37,8,2009,"125cc",main,false,false,false
30831,Keminth Kubo,1,361,21,11,2022,moto2,main,false,false,false
30832,Keminth Kubo,1,362,23,12,2022,moto2,main,false,false,false
10985,Takaaki Nakagami,1,126,37,8,2009,"125cc",main,false,false,false
30833,Keminth Kubo,1,363,37,13,2022,moto2,main,false,false,false
30834,Keminth Kubo,1,364,37,14,2022,moto2,main,false,false,false
30835,Keminth Kubo,1,365,37,15,2022,moto2,main,false,false,false
30836,Keminth Kubo,1,366,18,16,2022,moto2,main,false,false,false
30837,Keminth Kubo,1,367,87,17,2022,moto2,main,false,false,false
30838,Keminth Kubo,1,368,37,18,2022,moto2,main,false,false,false
30839,Keminth Kubo,1,369,16,19,2022,moto2,main,false,false,false
30840,Keminth Kubo,1,370,17,20,2022,moto2,main,false,false,false
11001,Thomas Lüthi,1,126,8,8,2009,"250cc",main,false,false,false
11015,Toby Markham,1,126,17,8,2009,"250cc",main,false,false,false
11016,Toby Markham,1,128,23,10,2009,"250cc",main,false,false,false
11026,Tomoyoshi Koyama,1,126,10,8,2009,"125cc",main,false,false,false
11052,Toni Finsterbusch,1,126,21,8,2009,"125cc",main,false,false,false
11058,Valentin Debise,1,126,20,8,2009,"250cc",main,false,false,false
30932,Lukas Tulovic,1,352,12,2,2022,moto-e,main,false,false,false
11091,Vladimir Leonov,1,126,37,8,2009,"250cc",main,false,false,false
11116,Álvaro Bautista,1,126,3,8,2009,"250cc",main,false,false,false
